meter,total_import_kWh,total_export_kWh,net_kWh,peak_kW,avg_pf,min_pf
meter/m4,319966.00000036595,280147.39999999997,39818.60000036599,205.3467005076142,0.2448149142305624,-1.0
meter/m5,215508.5,174362.5,41146.0,104.21372881355931,0.21750460005954522,-1.0
